,spa_title,eng_title,year
0,7 Minutos , 7 minutes,2009
1,15.03.09 La última ofensiva , 15.03.09 The last ofensive,2009
2,199 recetas para ser feliz , 199 tips to be happy,2009
3,A la deriva , Drifting,2009
4,A un metro de ti , A stop away from you,2009
5,Los abrazos rotos , Broken embraces,2009
6,Actor sin éxito , Unsuccessful Actor,2009
7,After,,2009
8,Agallas , Guts,2009
9,Ágora,,2009
10,Agujetas en el alma  , Scarred Soul,2009
11,Al final del Camino , The end of the Way,2009
12,El alma de La Roja , The soul of the Reds,2009
13,El amanecer de un sueño , Awaking from a dream,2009
14,"Amor, dolor y viceversa "," Love, pain and vice versa",2009
15,"Anás, una pelicula india ", Anas: an Indian film,2009
16,Ander,,2009
17,El arte de robar , The art of stealing ,2009
18,El asesino a sueldo , The hired killer,2009
19,El baile de la Victoria , The dancer and the thief,2009
20,"Bendito canalla, la verdadera historia de Genarín "," Blessed Swine, the true story of Genarin",2009
21,La bestia en el corazón , Don´t tell ,2009
22,El Brau Blau , The Blue Bull,2009
23,La buena vida , The good life,2009
24,Bullying,,2009
25,Buscando a Eric , Looking for Eri c,2009
26,Buzos haciendo surf , Divers surfing,2009
27,Cambio de sentido , U-Turn,2009
28,El camí dels somnis  , The pathway of dreams,2009
29,Los caminos de la memoria , The paths of memory ,2009
30,El campo de Argelers , Camp d´Argelès,2009
31,El campo de batalla , The battle field,2009
32,Castillos de cartón , Paper castles,2009
33,Cataluña -Espanya,,2009
34,La causa de Kripan , Kripan´s cause,2009
35,Cerca de tus ojos , Close to your eyes,2009
36,Che. Guerrilla , Che: Part Two,2009
37,Che. Un hombre nuevo , Che. A new man,2009
38,Checkpoint rock,,2009
39,Cher a mi,,2009
40,Chus Lago: sola ante el hielo , Chus Lago: alone against the ice,2009
41,Cien metros más allá , One hundred meters away,2009
42,Cinéclub,,2009
43,Cómicos , Comedy actors,2009
44,Los condenados , The Condemned,2009
45,El cónsul de Sodoma,,2009
46,Cracks,,2009
47,Crebinsky,,2009
48,Cuatro estaciones , Four seasons,2009
49,Daniel y Ana , Daniel & Ana,2009
50,De fusioon a gossos , From “fusioon” to “gossos” Documental,2009
51,De reparto  , In character.  Portrait of an actor,2009
52,Día Noche , Day,2009
53,Dieta mediterránea , Mediterranean food,2009
54,Dos billetes , Two tickets,2009
55,Eloïse,,2009
56,Els passos perduts , The lost steps,2009
57,Ens veiem demà  , See You Tomorrow,2009
58,Entre esquelas , Among obituaries,2009
59,El esfuerzo y el ánimo ," Bejart Ballet Lausanne, of heart and courage",2009
60,Estación del olvido  , Station of the forgotten,2009
61,Estigmas , Stigmata,2009
62,El falso orgasmo  , Fake orgasm,2009
63,Fiesta. To fight or not to fight,,2009
64,Flores Negras , Dark Flowers,2009
65,Freak freak show. La historia de una falla ," Freak, Freak Show. The story of a Falla",2009
66,Fuga de cerebros , Brain Drain,2009
67,La furia de Mackenzie , Mackenzie´s Fury,2009
68,"Garbo, el hombre que salvó el mundo  "," Garbo, the man who saved the world",2009
69,Gitanos de Buenos Aires,,2009
70,Gordos , Fat people,2009
71,Háblame de amor , Tell me about love ,2009
72,La herencia Valdemar , The Valdemar inheritance,2009
73,Historia de una foto , History of a photo,2009
74,Ich bin Enric Marco,,2009
75,Las imágenes perdidas. La otra mirada , The lost images. The other view,2009
76,Improvisando , Improvising,2009
77,"Íntimos y extraños, 3 historias ½ "," Close friends and strangers, 3 and ½ stories",2009
78,Introspective,,2009
79,"Io, Don Giovanni",,2009
80,La isla interior , The island inside,2009
81,La joven de las naranjas , The orange girl ,2009
82,Kika superbruja y el libro de hechizos ," Lilli, the witch, the dragon and the magic book ",2009
83,drache und das magische buch,,2009
84,L'Escaezu. Recuerdos del 37 , L´escaezu -  Memories of 37,2009
85,"Locas, maricas y plumeras llenando  la televisión ", Mad magpies and queers filling the television,2009
86,Luna caliente , Hot moon,2009
87,La llegenda , The Legend,2009
88,La llegenda del innombrable , The legend of the unmentionable,2009
89,Lligams trencats  , Broken bonds,2009
90,Maçons els fills de la vidua  , Masons. The sons of the widow,2009
91,Madre amadísima , Dearest mother,2009
92,Mal día para pescar , Bad day to go fishing,2009
93,Malamuerte  Malas noticias , Bad news,2009
94,Mapa de los sonidos de Tokio , Map of the sound of Tokyo,2009
95,La máquina de pintar nubes , The machine for painting clouds,2009
96,Mascares  , Masks   ¡Mejor que nunca! ,2009
97,Mentiras y gordas ," Sex, party & lies",2009
98,Mi vida con Carlos , My life with Carlos,2009
99,Mi vida en ruinas , My life in ruins,2009
100,La mirada de Ouka Leele,,2009
101,La mujer sin piano , Woman without piano,2009
102,"Munduaren bira, doan!  "," Round the World, Free!",2009
103,Myna se va , Myna has gone,2009
104,Nacidas para sufrir , Born to suffer,2009
105,Napoleón y yo , N - Napoleon & Me ,2009
106,"Ni dios, ni patrón, ni marido "," No god, no boss, no husband",2009
107,La Niña Blanca , The Girl In White,2009
108,El niño pez , The fish child,2009
109,La noche que dejó de llover,,2009
110,Notes al peu , Footnotes,2009
111,El odio que estremece , Hate that causes shudders,2009
112,Omerta,,2009
113,"Pablo de Tarso, el último viaje "," Paul of Tarsus, his last journey",2009
114,Pagafantas , Friend zone,2009
115,Paintball,,2009
116,Paisito , Small country,2009
117,Pecador , Night of the sinner,2009
118,La perdida  , The loss,2009
119,El perdón , The Forgiveness,2009
120,Petit Indi,,2009
121,Planet 51,,2009
122,La posibilidad de una isla , The possibility of an island ,2009
123,Quemando suerte , Burning luck,2009
124,Rafael,,2009
125,Ramírez,,2009
126,REC 2 , [REC] 2,2009
127,Relatos , Stories,2009
128,Res publica,,2009
129,Rescat  , Rescu e,2009
130,"Revolucio #2, retorn als escenaris  ", Revolution [Take 2],2009
131,"Ricardo Muñoz Suay, memorias del otro "," Ricardo Muñoz Suay, memories of the other",2009
132,La sal de este mar , Salt of this sea ,2009
133,Santa contra Claus , Santa vs. Claus,2009
134,El secret de la lluna  , The moon´s secret,2009
135,El secreto de sus ojos , The secret in their eyes,2009
136,Secretos de cocina , Kitchen secrets,2009
137,La segunda patria  , The second fatherland,2009
138,Señora de , Mrs.…What’ -his-name,2009
139,Septiembre del 75 , September 75,2009
140,Ser Joan Fuster , Being Joan Fuster,2009
141,Sesión , Session,2009
142,"Shevernatze, una epopeya marcha atrás ", Shevernatze -  An odyssey walking backwards,2009
143,Siempre hay tiempo , Héctor y Bruno ,2009
144,Singularidades de una chica rubia , Eccentricities of a blond hair girl ,2009
145,loura,,2009
146,Soc un ninot  , I´m a puppet,2009
147,Spanish movie,,2009
148,Suspicious minds,,2009
149,La teta asustada , The milk of sorrow,2009
150,Tetro  The end of the loneliness,,2009
151,The unmaking of  , The unmaking of,2009
152,This is me  , This is me. On the rights of the child,2009
153,La tierra habitada , The land inhabited,2009
154,To shoot an elephant,,2009
155,Todo está en el aire , All is up in the air,2009
156,Tom Zé astronauta libertado , Tom Zé Liberated Astronaut,2009
157,Tras los pasos del bandolero , Following the steps of bandoler o,2009
158,Trash  Tres días con la familia  , Three days with the family,2009
159,Triage,,2009
160,Tritones  ," Tritons,",2009
161,Tú eliges , You choose,2009
162,La última mirada , The last look,2009
163,Un buen hombre , A good man,2009
164,Un instante preciso , A precise instant,2009
165,Un lugar lejano , A distant place,2009
166,V.O.S.  , V.O.S.,2009
167,Vengo con la lluvia , I come with the rain ,2009
168,La ventana , The window,2009
169,La vergüenza,,2009
170,El vestido y azul  , The dress,2009
